deal_type,obj_type,area_range,count,share_pct,grade,avg_price,median_price
аренда,База/склад/производство,1-10,20,6.0,A+,4850,5000
аренда,База/склад/производство,201-210,10,3.0,A+,171946,164000
аренда,База/склад/производство,211-220,9,2.7,A+,139712,151000
аренда,База/склад/производство,21-30,8,2.4,A+,26014,23375
аренда,База/склад/производство,151-160,7,2.1,A+,120521,110000
аренда,База/склад/производство,601-610,6,1.8,A+,364204,400000
аренда,База/склад/производство,41-50,6,1.8,A+,28718,32045
аренда,База/склад/производство,71-80,6,1.8,A+,38223,40000
аренда,База/склад/производство,101-110,6,1.8,A+,59983,60000
аренда,База/склад/производство,51-60,6,1.8,A+,33938,36530
аренда,База/склад/производство,1001-1010,6,1.8,A+,416500,500000
аренда,База/склад/производство,121-130,5,1.5,A+,66200,55000
аренда,База/склад/производство,701-710,5,1.5,A+,385000,245000
аренда,База/склад/производство,451-460,5,1.5,A+,235500,250000
аренда,База/склад/производство,361-370,5,1.5,A+,285800,362000
аренда,База/склад/производство,271-280,5,1.5,A+,193300,150000
аренда,База/склад/производство,281-290,5,1.5,A+,167000,170000
аренда,База/склад/производство,501-510,5,1.5,A+,241800,252000
аренда,База/склад/производство,441-450,5,1.5,A+,247552,180920
аренда,База/склад/производство,2001-2010,4,1.2,A+,752500,1200000
аренда,База/склад/производство,141-150,4,1.2,A+,103000,112000
аренда,База/склад/производство,1481-1490,4,1.2,A+,1141000,1500000
аренда,База/склад/производство,291-300,4,1.2,A+,176290,178000
аренда,База/склад/производство,181-190,4,1.2,A+,144500,180000
аренда,База/склад/производство,551-560,4,1.2,A+,326250,385000
аренда,База/склад/производство,751-760,4,1.2,A+,544485,527940
аренда,База/склад/производство,461-470,4,1.2,A+,298550,304200
аренда,База/склад/производство,481-490,4,1.2,A+,255500,330000
аренда,База/склад/производство,721-730,4,1.2,A,358669,433200
аренда,База/склад/производство,431-440,4,1.2,A,219200,280000
аренда,База/склад/производство,131-140,3,0.9,A,108333,75000
аренда,База/склад/производство,841-850,3,0.9,A,750000,750000
аренда,База/склад/производство,651-660,3,0.9,A,294508,363525
аренда,База/склад/производство,591-600,3,0.9,A,305000,300000
аренда,База/склад/производство,531-540,3,0.9,A,326667,330000
аренда,База/склад/производство,521-530,3,0.9,A,382480,340000
аренда,База/склад/производство,221-230,3,0.9,A,87667,70000
аренда,База/склад/производство,251-260,3,0.9,A,126667,72000
аренда,База/склад/производство,1431-1440,3,0.9,A,753067,750000
аренда,База/склад/производство,1081-1090,3,0.9,A,704567,650000
аренда,База/склад/производство,301-310,3,0.9,A,165000,150000
аренда,База/склад/производство,81-90,3,0.9,A,113333,60000
аренда,База/склад/производство,1361-1370,3,0.9,A,340333,350000
аренда,База/склад/производство,61-70,3,0.9,A,45107,50000
аренда,База/склад/производство,111-120,3,0.9,A,71000,78000
аренда,База/склад/производство,571-580,3,0.9,A,277893,229680
аренда,База/склад/производство,351-360,3,0.9,A,130000,80000
аренда,База/склад/производство,1061-1070,2,0.6,A,415400,720800
аренда,База/склад/производство,1401-1410,2,0.6,A,448000,560000
аренда,База/склад/производство,381-390,2,0.6,A,175000,200000
аренда,База/склад/производство,1721-1730,2,0.6,A,949800,1122000
аренда,База/склад/производство,4001-4010,2,0.6,A,2725000,4000000
аренда,База/склад/производство,241-250,2,0.6,A,125125,156000
аренда,База/склад/производство,331-340,2,0.6,A,219500,299000
аренда,База/склад/производство,8001-8010,2,0.6,A,8600000,10800000
аренда,База/склад/производство,411-420,2,0.6,A,313250,360000
аренда,База/склад/производство,231-240,2,0.6,A,122500,130000
аренда,База/склад/производство,171-180,2,0.6,A,142500,170000
аренда,База/склад/производство,11-20,2,0.6,A,13875,15000
аренда,База/склад/производство,561-570,2,0.6,A,185140,200000
аренда,База/склад/производство,1301-1310,2,0.6,B,910000,1040000
аренда,База/склад/производство,401-410,2,0.6,B,320600,400000
аренда,База/склад/производство,801-810,2,0.6,B,440000,520000
аренда,База/склад/производство,581-590,2,0.6,B,537500,698000
аренда,База/склад/производство,611-620,2,0.6,B,191800,200000
аренда,База/склад/производство,641-650,2,0.6,B,350000,400000
аренда,База/склад/производство,861-870,2,0.6,B,560000,560000
аренда,База/склад/производство,491-500,2,0.6,B,197500,200000
аренда,База/склад/производство,31-40,2,0.6,B,15750,21500
аренда,База/склад/производство,321-330,2,0.6,B,214975,220000
аренда,База/склад/производство,341-350,1,0.3,B,552000,552000
аренда,База/склад/производство,24311-24320,1,0.3,B,1500000,1500000
аренда,База/склад/производство,371-380,1,0.3,B,264000,264000
аренда,База/склад/производство,11721-11730,1,0.3,B,4688000,4688000
аренда,База/склад/производство,971-980,1,0.3,B,293400,293400
аренда,База/склад/производство,1461-1470,1,0.3,B,1149750,1149750
аренда,База/склад/производство,781-790,1,0.3,B,600000,600000
аренда,База/склад/производство,471-480,1,0.3,B,310000,310000
аренда,База/склад/производство,901-910,1,0.3,B,300000,300000
аренда,База/склад/производство,1501-1510,1,0.3,B,1050000,1050000
аренда,База/склад/производство,10001-10010,1,0.3,B,8000000,8000000
аренда,База/склад/производство,1601-1610,1,0.3,B,1440000,1440000
аренда,База/склад/производство,761-770,1,0.3,B,612800,612800
аренда,База/склад/производство,161-170,1,0.3,B,130000,130000
аренда,База/склад/производство,4151-4160,1,0.3,B,3735000,3735000
аренда,База/склад/производство,2551-2560,1,0.3,B,2300000,2300000
аренда,База/склад/производство,541-550,1,0.3,B,430000,430000
аренда,База/склад/производство,1801-1810,1,0.3,B,800000,800000
аренда,База/склад/производство,681-690,1,0.3,B,240000,240000
аренда,База/склад/производство,731-740,1,0.3,B,300000,300000
аренда,База/склад/производство,1331-1340,1,0.3,B,690000,690000
аренда,База/склад/производство,1991-2000,1,0.3,B,1295905,1295905
аренда,База/склад/производство,4031-4040,1,0.3,B,2625480,2625480
аренда,База/склад/производство,2411-2420,1,0.3,B,1572545,1572545
аренда,База/склад/производство,631-640,1,0.3,B,315000,315000
аренда,База/склад/производство,261-270,1,0.3,B,206042,206042
аренда,База/склад/производство,1471-1480,1,0.3,B,1083537,1083537
аренда,База/склад/производство,981-990,1,0.3,B,200000,200000
аренда,База/склад/производство,1701-1710,1,0.3,B,200000,200000
аренда,База/склад/производство,1261-1270,1,0.3,B,950000,950000
аренда,База/склад/производство,1491-1500,1,0.3,C,1048600,1048600
аренда,База/склад/производство,311-320,1,0.3,C,259000,259000
аренда,База/склад/производство,1441-1450,1,0.3,C,1080000,1080000
аренда,База/склад/производство,1121-1130,1,0.3,C,673800,673800
аренда,База/склад/производство,881-890,1,0.3,C,100000,100000
аренда,База/склад/производство,1281-1290,1,0.3,C,516000,516000
аренда,База/склад/производство,1451-1460,1,0.3,C,725000,725000
аренда,База/склад/производство,1051-1060,1,0.3,C,105600,105600
аренда,База/склад/производство,2631-2640,1,0.3,C,365000,365000
аренда,База/склад/производство,661-670,1,0.3,C,250000,250000
аренда,База/склад/производство,1101-1110,1,0.3,C,600000,600000
аренда,База/склад/производство,1231-1240,1,0.3,C,1170780,1170780
аренда,База/склад/производство,421-430,1,0.3,C,300000,300000
аренда,База/склад/производство,991-1000,1,0.3,C,590000,590000
аренда,База/склад/производство,2601-2610,1,0.3,C,500000,500000
аренда,База/склад/производство,811-820,1,0.3,C,405000,405000
аренда,База/склад/производство,621-630,1,0.3,C,375000,375000
аренда,База/склад/производство,2641-2650,1,0.3,C,1584000,1584000
аренда,База/склад/производство,1111-1120,1,0.3,C,739147,739147
аренда,База/склад/производство,691-700,1,0.3,C,414000,414000
аренда,База/склад/производство,1651-1660,1,0.3,C,173250,173250
аренда,База/склад/производство,22691-22700,1,0.3,C,6810000,6810000
аренда,База/склад/производство,1221-1230,1,0.3,C,700000,700000
аренда,База/склад/производство,951-960,1,0.3,C,100000,100000
аренда,База/склад/производство,511-520,1,0.3,C,306600,306600
аренда,База/склад/производство,2011-2020,1,0.3,C,399000,399000
аренда,База/склад/производство,1161-1170,1,0.3,C,871500,871500
аренда,База/склад/производство,5001-5010,1,0.3,C,500000,500000
аренда,База/склад/производство,771-780,1,0.3,C,544600,544600
аренда,База/склад/производство,1381-1390,1,0.3,C,831000,831000
аренда,База/склад/производство,1071-1080,1,0.3,C,644040,644040
аренда,База/склад/производство,2861-2870,1,0.3,C,1144000,1144000
аренда,База/склад/производство,1011-1020,1,0.3,C,712110,712110
аренда,База/склад/производство,911-920,1,0.3,C,294000,294000
аренда,Готовый бизнес,51-60,1,50.0,A+,360000,360000
аренда,Готовый бизнес,1201-1210,1,50.0,C,1000000,1000000
аренда,Коммерческий участок,11591-11600,1,25.0,A+,570000,570000
аренда,Коммерческий участок,18871-18880,1,25.0,A+,300000,300000
аренда,Коммерческий участок,1081-1090,1,25.0,A,1000000,1000000
аренда,Коммерческий участок,21-30,1,25.0,C,110000,110000
аренда,Офисное помещение,11-20,187,22.4,A+,17414,16200
аренда,Офисное помещение,21-30,110,13.2,A+,25714,24500
аренда,Офисное помещение,31-40,100,12.0,A+,33850,34000
аренда,Офисное помещение,41-50,50,6.0,A,46932,45000
аренда,Офисное помещение,61-70,45,5.4,A,77339,67700
аренда,Офисное помещение,51-60,43,5.2,A,49147,45000
аренда,Офисное помещение,71-80,25,3.0,A,74269,70830
аренда,Офисное помещение,81-90,18,2.2,A,77863,76665
аренда,Офисное помещение,101-110,16,1.9,A,90025,100000
аренда,Офисное помещение,1-10,14,1.7,A,9778,9720
аренда,Офисное помещение,131-140,13,1.6,A,116163,122800
аренда,Офисное помещение,91-100,13,1.6,B,90466,85500
аренда,Офисное помещение,181-190,13,1.6,B,164139,150000
аренда,Офисное помещение,121-130,12,1.4,B,162849,150000
аренда,Офисное помещение,111-120,12,1.4,B,103282,110900
аренда,Офисное помещение,141-150,11,1.3,B,157491,141000
аренда,Офисное помещение,151-160,11,1.3,B,175470,169000
аренда,Офисное помещение,201-210,9,1.1,B,196982,190000
аренда,Офисное помещение,171-180,8,1.0,B,161356,130000
аренда,Офисное помещение,221-230,8,1.0,B,176161,180000
аренда,Офисное помещение,251-260,7,0.8,B,209024,175000
аренда,Офисное помещение,211-220,7,0.8,B,195567,212900
аренда,Офисное помещение,261-270,5,0.6,B,273437,268000
аренда,Офисное помещение,401-410,5,0.6,B,304300,350000
аренда,Офисное помещение,301-310,5,0.6,B,325920,350000
аренда,Офисное помещение,241-250,5,0.6,C,238700,242000
аренда,Офисное помещение,381-390,4,0.5,C,450688,380000
аренда,Офисное помещение,541-550,4,0.5,C,475000,400000
аренда,Офисное помещение,161-170,4,0.5,C,181875,170000
аренда,Офисное помещение,271-280,4,0.5,C,255175,278000
аренда,Офисное помещение,511-520,4,0.5,C,611678,623000
аренда,Офисное помещение,601-610,3,0.4,C,666927,720000
аренда,Офисное помещение,231-240,3,0.4,C,184493,185000
аренда,Офисное помещение,281-290,3,0.4,C,342083,388530
аренда,Офисное помещение,371-380,3,0.4,C,373333,400000
аренда,Офисное помещение,351-360,3,0.4,C,548385,513155
аренда,Офисное помещение,311-320,3,0.4,C,687467,796000
аренда,Офисное помещение,831-840,2,0.2,C,959700,1086800
аренда,Офисное помещение,191-200,2,0.2,C,182100,229200
аренда,Офисное помещение,501-510,2,0.2,C,450000,570000
аренда,Офисное помещение,471-480,2,0.2,C,331100,471000
аренда,Офисное помещение,551-560,2,0.2,C,531500,668000
аренда,Офисное помещение,291-300,2,0.2,C,514460,670000
аренда,Офисное помещение,3981-3990,1,0.1,C,2988000,2988000
аренда,Офисное помещение,881-890,1,0.1,C,704000,704000
аренда,Офисное помещение,421-430,1,0.1,C,420000,420000
аренда,Офисное помещение,941-950,1,0.1,C,660030,660030
аренда,Офисное помещение,2501-2510,1,0.1,C,1000000,1000000
аренда,Офисное помещение,1021-1030,1,0.1,C,1225200,1225200
аренда,Офисное помещение,1741-1750,1,0.1,C,570000,570000
аренда,Офисное помещение,451-460,1,0.1,C,800000,800000
аренда,Офисное помещение,521-530,1,0.1,C,650000,650000
аренда,Офисное помещение,5001-5010,1,0.1,C,5000000,5000000
аренда,Офисное помещение,3501-3510,1,0.1,C,3800000,3800000
аренда,Офисное помещение,1421-1430,1,0.1,C,1143296,1143296
аренда,Офисное помещение,1201-1210,1,0.1,C,1440000,1440000
аренда,Офисное помещение,1801-1810,1,0.1,C,2160000,2160000
аренда,Офисное помещение,441-450,1,0.1,C,193000,193000
аренда,Офисное помещение,981-990,1,0.1,C,882000,882000
аренда,Офисное помещение,1601-1610,1,0.1,C,1840000,1840000
аренда,Офисное помещение,341-350,1,0.1,C,345000,345000
аренда,Офисное помещение,581-590,1,0.1,C,641300,641300
аренда,Офисное помещение,801-810,1,0.1,C,380000,380000
аренда,Офисное помещение,901-910,1,0.1,C,450000,450000
аренда,Офисное помещение,1951-1960,1,0.1,C,2860000,2860000
аренда,Офисное помещение,741-750,1,0.1,C,1400000,1400000
аренда,Офисное помещение,631-640,1,0.1,C,602910,602910
аренда,Офисное помещение,921-930,1,0.1,C,1845000,1845000
аренда,Офисное помещение,321-330,1,0.1,C,277000,277000
аренда,Офисное помещение,331-340,1,0.1,C,601560,601560
аренда,Офисное помещение,411-420,1,0.1,C,407000,407000
аренда,Офисное помещение,361-370,1,0.1,C,252000,252000
аренда,Офисное помещение,701-710,1,0.1,C,420000,420000
аренда,Офисное помещение,1001-1010,1,0.1,C,500000,500000
аренда,Свободного назначения,61-70,152,9.0,A+,77243,73800
аренда,Свободного назначения,51-60,143,8.4,A+,64777,62000
аренда,Свободного назначения,41-50,118,7.0,A+,56545,55000
аренда,Свободного назначения,81-90,108,6.4,A+,99387,95000
аренда,Свободного назначения,71-80,108,6.4,A+,87654,80190
аренда,Свободного назначения,31-40,94,5.5,A+,43804,40000
аренда,Свободного назначения,91-100,89,5.3,A+,109924,100000
аренда,Свободного назначения,101-110,79,4.7,A,108170,103000
аренда,Свободного назначения,111-120,64,3.8,A,116134,117000
аренда,Свободного назначения,21-30,58,3.4,A,29478,27000
аренда,Свободного назначения,121-130,52,3.1,A,128657,120000
аренда,Свободного назначения,131-140,49,2.9,A,149638,152900
аренда,Свободного назначения,11-20,48,2.8,A,20829,17765
аренда,Свободного назначения,151-160,47,2.8,A,146814,150000
аренда,Свободного назначения,141-150,27,1.6,A,171883,145000
аренда,Свободного назначения,161-170,26,1.5,A,155654,161000
аренда,Свободного назначения,301-310,24,1.4,B,265455,250000
аренда,Свободного назначения,181-190,23,1.4,B,175317,150000
аренда,Свободного назначения,171-180,20,1.2,B,199990,180000
аренда,Свободного назначения,271-280,19,1.1,B,221313,225000
аренда,Свободного назначения,281-290,18,1.1,B,253709,230000
аренда,Свободного назначения,221-230,16,0.9,B,157051,150000
аренда,Свободного назначения,251-260,16,0.9,B,217529,200000
аренда,Свободного назначения,201-210,16,0.9,B,185446,190000
аренда,Свободного назначения,501-510,15,0.9,B,376333,300000
аренда,Свободного назначения,231-240,15,0.9,B,256219,234000
аренда,Свободного назначения,191-200,14,0.8,B,211908,171000
аренда,Свободного назначения,1-10,12,0.7,B,16083,10000
аренда,Свободного назначения,261-270,12,0.7,B,379101,350000
аренда,Свободного назначения,211-220,11,0.6,B,215577,168000
аренда,Свободного назначения,321-330,11,0.6,B,327758,324000
аренда,Свободного назначения,651-660,8,0.5,B,621812,652000
аренда,Свободного назначения,381-390,8,0.5,B,260375,300000
аренда,Свободного назначения,401-410,8,0.5,C,265142,300000
аренда,Свободного назначения,361-370,7,0.4,C,356608,290000
аренда,Свободного назначения,241-250,7,0.4,C,281083,245000
аренда,Свободного назначения,441-450,7,0.4,C,439657,440000
аренда,Свободного назначения,311-320,7,0.4,C,278047,250000
аренда,Свободного назначения,351-360,7,0.4,C,321000,350000
аренда,Свободного назначения,751-760,5,0.3,C,805840,750000
аренда,Свободного назначения,411-420,5,0.3,C,418656,450000
аренда,Свободного назначения,1501-1510,5,0.3,C,1210000,1275000
аренда,Свободного назначения,701-710,4,0.2,C,775000,700000
аренда,Свободного назначения,1001-1010,4,0.2,C,700000,1000000
аренда,Свободного назначения,661-670,4,0.2,C,634750,800000
аренда,Свободного назначения,1201-1210,4,0.2,C,1140700,1200000
аренда,Свободного назначения,601-610,4,0.2,C,454200,600000
аренда,Свободного назначения,331-340,4,0.2,C,259875,254500
аренда,Свободного назначения,291-300,4,0.2,C,222000,270000
аренда,Свободного назначения,371-380,3,0.2,C,330067,298400
аренда,Свободного назначения,991-1000,3,0.2,C,862333,792000
аренда,Свободного назначения,2001-2010,3,0.2,C,1666667,2000000
аренда,Свободного назначения,341-350,3,0.2,C,182053,180000
аренда,Свободного назначения,451-460,3,0.2,C,302000,300000
аренда,Свободного назначения,531-540,2,0.1,C,506220,535000
аренда,Свободного назначения,481-490,2,0.1,C,475000,600000
аренда,Свободного назначения,471-480,2,0.1,C,169000,238000
аренда,Свободного назначения,1101-1110,2,0.1,C,1215000,1430000
аренда,Свободного назначения,551-560,2,0.1,C,830000,1000000
аренда,Свободного назначения,801-810,2,0.1,C,895000,1040000
аренда,Свободного назначения,521-530,2,0.1,C,525460,634920
аренда,Свободного назначения,681-690,2,0.1,C,640750,681500
аренда,Свободного назначения,851-860,2,0.1,C,550000,850000
аренда,Свободного назначения,691-700,2,0.1,C,668500,785000
аренда,Свободного назначения,491-500,2,0.1,C,541500,740000
аренда,Свободного назначения,431-440,2,0.1,C,409500,559000
аренда,Свободного назначения,391-400,2,0.1,C,460620,471240
аренда,Свободного назначения,761-770,2,0.1,C,587880,725760
аренда,Свободного назначения,1411-1420,1,0.1,C,1270800,1270800
аренда,Свободного назначения,891-900,1,0.1,C,550000,550000
аренда,Свободного назначения,881-890,1,0.1,C,700000,700000
аренда,Свободного назначения,4801-4810,1,0.1,C,9999000,9999000
аренда,Свободного назначения,711-720,1,0.1,C,355000,355000
аренда,Свободного назначения,3601-3610,1,0.1,C,3240000,3240000
аренда,Свободного назначения,3171-3180,1,0.1,C,900000,900000
аренда,Свободного назначения,6001-6010,1,0.1,C,6000000,6000000
аренда,Свободного назначения,861-870,1,0.1,C,603000,603000
аренда,Свободного назначения,1801-1810,1,0.1,C,720000,720000
аренда,Свободного назначения,621-630,1,0.1,C,375000,375000
аренда,Свободного назначения,1181-1190,1,0.1,C,1000000,1000000
аренда,Свободного назначения,1421-1430,1,0.1,C,1350000,1350000
аренда,Свободного назначения,1711-1720,1,0.1,C,1500000,1500000
аренда,Свободного назначения,4401-4410,1,0.1,C,2204000,2204000
аренда,Свободного назначения,1481-1490,1,0.1,C,1188800,1188800
аренда,Свободного назначения,1341-1350,1,0.1,C,1200000,1200000
аренда,Свободного назначения,1081-1090,1,0.1,C,750000,750000
аренда,Свободного назначения,901-910,1,0.1,C,650000,650000
аренда,Свободного назначения,831-840,1,0.1,C,1100000,1100000
аренда,Свободного назначения,731-740,1,0.1,C,662400,662400
аренда,Свободного назначения,791-800,1,0.1,C,632000,632000
аренда,Свободного назначения,941-950,1,0.1,C,940000,940000
аренда,Свободного назначения,1211-1220,1,0.1,C,650000,650000
аренда,Свободного назначения,461-470,1,0.1,C,235000,235000
аренда,Свободного назначения,781-790,1,0.1,C,626400,626400
аренда,Свободного назначения,1311-1320,1,0.1,C,2000000,2000000
аренда,Свободного назначения,2161-2170,1,0.1,C,2808000,2808000
аренда,Свободного назначения,931-940,1,0.1,C,918000,918000
аренда,Свободного назначения,561-570,1,0.1,C,499000,499000
аренда,Свободного назначения,1371-1380,1,0.1,C,680000,680000
аренда,Свободного назначения,1151-1160,1,0.1,C,752000,752000
аренда,Свободного назначения,1241-1250,1,0.1,C,1866000,1866000
аренда,Свободного назначения,1031-1040,1,0.1,C,826400,826400
аренда,Свободного назначения,951-960,1,0.1,C,750000,750000
аренда,Свободного назначения,611-620,1,0.1,C,480000,480000
аренда,Свободного назначения,1231-1240,1,0.1,C,280000,280000
аренда,Свободного назначения,11551-11560,1,0.1,C,4043200,4043200
аренда,Свободного назначения,1351-1360,1,0.1,C,675000,675000
аренда,Свободного назначения,421-430,1,0.1,C,420000,420000
аренда,Свободного назначения,821-830,1,0.1,C,400000,400000
аренда,Свободного назначения,1041-1050,1,0.1,C,1040000,1040000
аренда,Свободного назначения,571-580,1,0.1,C,741000,741000
аренда,Свободного назначения,1301-1310,1,0.1,C,650000,650000
аренда,Свободного назначения,641-650,1,0.1,C,250000,250000
аренда,Свободного назначения,631-640,1,0.1,C,310000,310000
аренда,Торговое помещение,61-70,82,9.5,A+,85049,80280
аренда,Торговое помещение,51-60,75,8.7,A+,77375,70440
аренда,Торговое помещение,71-80,62,7.2,A+,98256,82570
аренда,Торговое помещение,81-90,62,7.2,A+,110012,108400
аренда,Торговое помещение,31-40,58,6.7,A+,51044,50000
аренда,Торговое помещение,91-100,55,6.4,A+,121822,110000
аренда,Торговое помещение,41-50,54,6.3,A,65142,65250
аренда,Торговое помещение,101-110,50,5.8,A,132749,130000
аренда,Торговое помещение,21-30,38,4.4,A,36053,35700
аренда,Торговое помещение,121-130,33,3.8,A,151440,148440
аренда,Торговое помещение,131-140,32,3.7,A,172425,172900
аренда,Торговое помещение,11-20,27,3.1,A,26724,19800
аренда,Торговое помещение,111-120,23,2.7,B,138638,130000
аренда,Торговое помещение,141-150,19,2.2,B,171023,175440
аренда,Торговое помещение,151-160,18,2.1,B,146389,150100
аренда,Торговое помещение,171-180,13,1.5,B,215377,245000
аренда,Торговое помещение,201-210,10,1.2,B,183305,200000
аренда,Торговое помещение,161-170,9,1.0,B,184313,199920
аренда,Торговое помещение,191-200,8,0.9,B,166250,175000
аренда,Торговое помещение,1-10,7,0.8,B,21143,17000
аренда,Торговое помещение,181-190,7,0.8,B,180646,161500
аренда,Торговое помещение,281-290,6,0.7,B,326517,390000
аренда,Торговое помещение,331-340,6,0.7,B,374083,397000
аренда,Торговое помещение,211-220,6,0.7,B,320768,321450
аренда,Торговое помещение,231-240,6,0.7,B,306480,283680
аренда,Торговое помещение,301-310,5,0.6,B,316320,300000
аренда,Торговое помещение,251-260,5,0.6,B,232500,200000
аренда,Торговое помещение,271-280,5,0.6,C,393600,330000
аренда,Торговое помещение,401-410,5,0.6,C,400596,400000
аренда,Торговое помещение,261-270,5,0.6,C,392996,478980
аренда,Торговое помещение,221-230,4,0.5,C,590600,456000
аренда,Торговое помещение,421-430,3,0.3,C,466121,400900
аренда,Торговое помещение,651-660,3,0.3,C,540783,577350
аренда,Торговое помещение,241-250,3,0.3,C,422213,365000
аренда,Торговое помещение,351-360,3,0.3,C,903767,674500
аренда,Торговое помещение,601-610,3,0.3,C,533333,600000
аренда,Торговое помещение,451-460,3,0.3,C,377305,407097
аренда,Торговое помещение,341-350,3,0.3,C,389613,380000
аренда,Торговое помещение,441-450,3,0.3,C,378471,500000
аренда,Торговое помещение,581-590,2,0.2,C,315000,460000
аренда,Торговое помещение,521-530,2,0.2,C,333000,416000
аренда,Торговое помещение,1201-1210,2,0.2,C,870000,900000
аренда,Торговое помещение,431-440,2,0.2,C,336500,436000
аренда,Торговое помещение,481-490,2,0.2,C,456000,576000
аренда,Торговое помещение,321-330,2,0.2,C,241250,320000
аренда,Торговое помещение,371-380,2,0.2,C,477475,568950
аренда,Торговое помещение,2001-2010,2,0.2,C,1500000,2000000
аренда,Торговое помещение,551-560,2,0.2,C,597825,835650
аренда,Торговое помещение,1421-1430,1,0.1,C,850000,850000
аренда,Торговое помещение,1501-1510,1,0.1,C,1050000,1050000
аренда,Торговое помещение,471-480,1,0.1,C,264000,264000
аренда,Торговое помещение,591-600,1,0.1,C,360000,360000
аренда,Торговое помещение,801-810,1,0.1,C,1000000,1000000
аренда,Торговое помещение,1411-1420,1,0.1,C,2150000,2150000
аренда,Торговое помещение,311-320,1,0.1,C,140220,140220
аренда,Торговое помещение,1001-1010,1,0.1,C,400000,400000
аренда,Торговое помещение,841-850,1,0.1,C,1344000,1344000
аренда,Торговое помещение,361-370,1,0.1,C,459700,459700
аренда,Торговое помещение,491-500,1,0.1,C,456000,456000
аренда,Торговое помещение,511-520,1,0.1,C,390000,390000
аренда,Торговое помещение,541-550,1,0.1,C,684000,684000
аренда,Торговое помещение,391-400,1,0.1,C,355248,355248
аренда,Торговое помещение,1701-1710,1,0.1,C,1534050,1534050
аренда,Торговое помещение,291-300,1,0.1,C,209860,209860
аренда,Торговое помещение,1391-1400,1,0.1,C,973252,973252
аренда,Торговое помещение,721-730,1,0.1,C,345000,345000
аренда,Торговое помещение,711-720,1,0.1,C,1207000,1207000
аренда,Торговое помещение,701-710,1,0.1,C,708000,708000
аренда,Торговое помещение,871-880,1,0.1,C,275000,275000
аренда,Торговое помещение,501-510,1,0.1,C,500000,500000
