Тип объекта;Тип заявки;Район;Площадь;Цена
Торговое помещение;Сдать в аренду;Дом Обороны;86.0;60000
Офисное помещение;Сдать в аренду;Центр: КПД;20.0;11880
Офисное помещение;Сдать в аренду;Центр: КПД;20.0;9360
Свободного назначения;Сдать в аренду;5-й Заречный мкр;119.6;59800
Свободного назначения;Сдать в аренду;Тюменская слобода мкр.;68.6;80000
Свободного назначения;Сдать в аренду;Раздолье мкр.;150.0;65000
Торговое помещение;Сдать в аренду;Южный;77.0;75000
Торговое помещение;Сдать в аренду;Дом Обороны;96.0;96000
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;150.0;70000
Торговое помещение;Сдать в аренду;Лесобаза мкр.;61.6;55000
Свободного назначения;Сдать в аренду;2-й Заречный мкр;60.0;60000
Торговое помещение;Сдать в аренду;Мыс мкр.;75.2;60000
Торговое помещение;Сдать в аренду;1-й Заречный мкр;93.5;116875
Свободного назначения;Сдать в аренду;Червишевский тракт мкр.;280.0;292600
Свободного назначения;Сдать в аренду;Центр: Исторический;319.0;400000
Торговое помещение;Сдать в аренду;Центр: КПД;92.0;138000
Офисное помещение;Сдать в аренду;Парфёново мкр.;41.0;30000
Свободного назначения;Сдать в аренду;2-й Заречный мкр;154.0;50000
Торговое помещение;Сдать в аренду;Матмасы мкр.;33.0;39600
Торговое помещение;Сдать в аренду;Плеханово;50.0;60000
Торговое помещение;Сдать в аренду;6 мкр;40.0;30000
Офисное помещение;Сдать в аренду;Центр: Исторический;600.0;560780
Свободного назначения;Сдать в аренду;Центр: Дом печати;65.8;63000
Свободного назначения;Сдать в аренду;Центр: Дом печати;155.0;120000
Торговое помещение;Сдать в аренду;Центр: КПД;45.0;65000
Офисное помещение;Сдать в аренду;Центр: Исторический;51.0;30000
Свободного назначения;Сдать в аренду;Центр: КПД;36.0;54900
Офисное помещение;Сдать в аренду;Центр: Исторический;185.0;123000
Свободного назначения;Сдать в аренду;Центр: Исторический;50.3;125000
Офисное помещение;Сдать в аренду;МЖК;142.0;128760
Свободного назначения;Сдать в аренду;Червишевский тракт мкр.;219.3;300000
Торговое помещение;Сдать в аренду;3-й Заречный мкр;93.7;94000
Торговое помещение;Сдать в аренду;5-й Заречный мкр;104.0;135000
Офисное помещение;Сдать в аренду;Центр: Исторический;147.0;222150
Офисное помещение;Сдать в аренду;Центр: Исторический;154.0;130000
Торговое помещение;Сдать в аренду;микрорайон Тюменский-1;29.0;34800
Свободного назначения;Сдать в аренду;микрорайон Тюменский-1;60.0;73800
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;79.0;118500
Свободного назначения;Сдать в аренду;Гилевская Роща;640.0;250000
Свободного назначения;Сдать в аренду;Заречный мкр.;76.0;70000
Свободного назначения;Сдать в аренду;Комарово Парк мкр.;51.4;40000
Свободного назначения;Сдать в аренду;Центр: Исторический;146.0;130000
Торговое помещение;Сдать в аренду;Европейский мкр.;72.6;110000
База/склад/производство;Сдать в аренду;Гилевская Роща;645.0;400000
Свободного назначения;Сдать в аренду;5-й Заречный мкр;113.0;120000
Свободного назначения;Сдать в аренду;Тюменская слобода мкр.;74.2;74000
Свободного назначения;Сдать в аренду;Тюменская слобода мкр.;73.9;74000
Торговое помещение;Сдать в аренду;МЖК;94.5;200000
Свободного назначения;Сдать в аренду;микрорайон Восточный;340.0;216160
Офисное помещение;Сдать в аренду;Центр: Драмтеатр;215.0;70000
Торговое помещение;Сдать в аренду;Исетское;165.0;127500
Торговое помещение;Сдать в аренду;Дом Обороны;120.3;84210
Офисное помещение;Сдать в аренду;Дом Обороны;31.1;32000
Торговое помещение;Сдать в аренду;3-й Заречный мкр;50.0;80000
База/склад/производство;Сдать в аренду;микрорайон Парфёново;1365.0;125000
База/склад/производство;Сдать в аренду;микрорайон Парфёново;1365.0;350000
Офисное помещение;Сдать в аренду;Центр: Дом печати;704.9;420000
Офисное помещение;Сдать в аренду;Дом Обороны;12.0;12500
Офисное помещение;Сдать в аренду;Центр: Драмтеатр;22.0;15000
Торговое помещение;Сдать в аренду;Комарово Парк мкр.;135.3;143418
Свободного назначения;Сдать в аренду;Европейский мкр.;26.0;40000
Торговое помещение;Сдать в аренду;Дом Обороны;82.9;65000
Торговое помещение;Сдать в аренду;Дом Обороны;82.9;65000
Свободного назначения;Сдать в аренду;Центр: КПД;65.5;180000
Свободного назначения;Сдать в аренду;Тюменский 1-й мкр.;165.1;80000
База/склад/производство;Сдать в аренду;Дом Обороны;140.0;112000
Свободного назначения;Сдать в аренду;Дом Обороны;115.0;74500
Торговое помещение;Сдать в аренду;Ново-Патрушево мкр.;105.8;120000
Торговое помещение;Сдать в аренду;Рощино мкр.;48.2;67500
Офисное помещение;Сдать в аренду;Центр: Драмтеатр;140.0;140000
Торговое помещение;Сдать в аренду;Европейский мкр.;100.9;173000
Офисное помещение;Сдать в аренду;Центр: Исторический;50.0;59000
Торговое помещение;Сдать в аренду;3-й Заречный мкр;40.5;56700
Свободного назначения;Сдать в аренду;Тюменская слобода мкр.;113.6;115000
Торговое помещение;Сдать в аренду;Комарово Парк мкр.;69.7;69000
Торговое помещение;Сдать в аренду;Ватутина мкр.;400.0;400000
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;23.5;20000
Торговое помещение;Сдать в аренду;Ново-Комарово;55.0;55500
Свободного назначения;Сдать в аренду;Дударева д.;43.2;30174
Офисное помещение;Сдать в аренду;6 мкр;180.0;216000
Торговое помещение;Сдать в аренду;5-й Заречный мкр;144.5;200000
Свободного назначения;Сдать в аренду;ДОК;41.1;53430
Свободного назначения;Сдать в аренду;микрорайон Тюменский-2;125.0;163125
Свободного назначения;Сдать в аренду;Патрушева д.;350.0;246000
Свободного назначения;Сдать в аренду;Московский тракт мкр.;130.0;75000
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;161.0;120000
Свободного назначения;Сдать в аренду;Плеханово;110.5;143000
Офисное помещение;Сдать в аренду;Центр: Исторический;318.4;1074400
Торговое помещение;Сдать в аренду;6 мкр;84.4;116000
Свободного назначения;Сдать в аренду;Центр: КПД;88.9;89000
Офисное помещение;Сдать в аренду;6 мкр;49.5;55000
Офисное помещение;Сдать в аренду;Центр: Драмтеатр;67.7;120000
Торговое помещение;Сдать в аренду;Тюменский 3-й мкр.;287.9;390000
Торговое помещение;Сдать в аренду;Плеханово;52.5;72000
Свободного назначения;Сдать в аренду;Червишевский тракт мкр.;51.1;70000
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;45.0;30000
Свободного назначения;Сдать в аренду;Плеханово;91.0;80000
Свободного назначения;Сдать в аренду;null;150.0;70000
Свободного назначения;Сдать в аренду;Европейский мкр.;60.0;90000
Свободного назначения;Сдать в аренду;Гилевская Роща;12.8;19740
Торговое помещение;Сдать в аренду;Центр: Драмтеатр;108.0;154440
Торговое помещение;Сдать в аренду;Московский п.;87.4;43700
Торговое помещение;Сдать в аренду;5-й Заречный мкр;72.4;70000
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;140.7;105000
База/склад/производство;Сдать в аренду;Яр с. (Тобольский тракт);441.0;180000
Свободного назначения;Сдать в аренду;Плеханово;234.9;234900
Торговое помещение;Сдать в аренду;Маяк мкр.;106.3;60000
Офисное помещение;Сдать в аренду;Центр: Исторический;64.0;50000
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;55.9;60000
Свободного назначения;Сдать в аренду;Матмасы мкр.;450.0;300000
Торговое помещение;Сдать в аренду;Тюменский 1-й мкр.;32.0;65000
Свободного назначения;Сдать в аренду;Центр: КПД;138.4;200000
Свободного назначения;Сдать в аренду;Патрушева д.;63.4;30000
Свободного назначения;Сдать в аренду;Лесобаза мкр.;37.9;25000
Торговое помещение;Сдать в аренду;Европейский мкр.;43.6;50000
Торговое помещение;Сдать в аренду;1-й Заречный мкр;43.5;65250
База/склад/производство;Сдать в аренду;микрорайон Лесобаза;70.0;17500
Офисное помещение;Сдать в аренду;Центр: Исторический;245.0;150000
Свободного назначения;Сдать в аренду;Европейский мкр.;92.1;165780
Торговое помещение;Сдать в аренду;5 мкр;64.1;65000
Торговое помещение;Сдать в аренду;Южный;159.0;160000
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;51.0;51000
Свободного назначения;Сдать в аренду;Центр: КПД;50.0;55000
Торговое помещение;Сдать в аренду;Центр: Драмтеатр;190.0;100000
Торговое помещение;Сдать в аренду;Центр: КПД;37.7;57000
Торговое помещение;Сдать в аренду;Мыс мкр.;163.3;256100
Свободного назначения;Сдать в аренду;Плеханово;111.9;147470
Торговое помещение;Сдать в аренду;Мыс мкр.;58.5;72500
Офисное помещение;Сдать в аренду;Московский п.;10.0;10200
Торговое помещение;Сдать в аренду;5-й Заречный мкр;102.0;132600
Торговое помещение;Сдать в аренду;Ново-Комарово;35.9;53850
Офисное помещение;Сдать в аренду;Центр: Исторический;30.6;26010
Торговое помещение;Сдать в аренду;Центр: КПД;52.5;60000
Торговое помещение;Сдать в аренду;Южный;370.0;386000
Офисное помещение;Сдать в аренду;Центр: КПД;14.4;12000
Офисное помещение;Сдать в аренду;Центр: КПД;13.0;11000
Свободного назначения;Сдать в аренду;ДОК;52.5;40000
Офисное помещение;Сдать в аренду;Европейский мкр.;43.9;50485
Торговое помещение;Сдать в аренду;Плеханово;24.0;55000
Свободного назначения;Сдать в аренду;Центр: Исторический;136.0;204000
Свободного назначения;Сдать в аренду;5-й Заречный мкр;111.0;95000
Свободного назначения;Сдать в аренду;Центр: КПД;40.0;65000
База/склад/производство;Сдать в аренду;Центр: Исторический;47.0;35250
База/склад/производство;Сдать в аренду;Центр: Исторический;23.0;23000
Торговое помещение;Сдать в аренду;Плеханово;44.6;70000
Свободного назначения;Сдать в аренду;микрорайон Лесобаза;21.0;13650
Офисное помещение;Сдать в аренду;Центр: Исторический;18.0;16200
Торговое помещение;Сдать в аренду;1 мкр;105.0;195000
Свободного назначения;Сдать в аренду;Европейский мкр.;154.0;258000
Свободного назначения;Сдать в аренду;Лесобаза мкр.;476.0;238000
Свободного назначения;Сдать в аренду;Центр: Исторический;31.7;34870
Торговое помещение;Сдать в аренду;Тюменская слобода мкр.;38.3;50000
Торговое помещение;Сдать в аренду;Дом Обороны;73.0;70000
Свободного назначения;Сдать в аренду;1 мкр;54.1;80000
Торговое помещение;Сдать в аренду;Центр: Исторический;74.0;190000
Офисное помещение;Сдать в аренду;Центр: КПД;15.6;25000
Офисное помещение;Сдать в аренду;Центр: Исторический;26.3;20000
Торговое помещение;Сдать в аренду;Центр: Дом печати;48.0;67200
Свободного назначения;Сдать в аренду;Ново-Патрушево мкр.;100.6;100600
Свободного назначения;Сдать в аренду;Восточный 2 мкр.;228.0;273600
Офисное помещение;Сдать в аренду;Центр: Студгородок;13.2;14520
Свободного назначения;Сдать в аренду;Центр: Студгородок;105.6;116138
Свободного назначения;Сдать в аренду;Тюменская слобода мкр.;62.2;120000
Офисное помещение;Сдать в аренду;Дом Обороны;41.0;40000
Свободного назначения;Сдать в аренду;Червишевский тракт мкр.;107.3;80000
Офисное помещение;Сдать в аренду;Центр: Студгородок;138.1;103575
Торговое помещение;Сдать в аренду;Тюменская слобода мкр.;54.1;81000
База/склад/производство;Сдать в аренду;Заречный мкр.;100.0;70000
Свободного назначения;Сдать в аренду;Тюменская слобода мкр.;58.5;105300
Торговое помещение;Сдать в аренду;Тюменская слобода мкр.;74.2;148400
Свободного назначения;Сдать в аренду;Центр: КПД;630.0;310000
Офисное помещение;Сдать в аренду;Суходольский мкр.;19.2;22000
Свободного назначения;Сдать в аренду;микрорайон Тюменский-1;187.7;130000
Свободного назначения;Сдать в аренду;Червишевский тракт мкр.;137.8;165360
Торговое помещение;Сдать в аренду;Плеханово;8.0;30000
Офисное помещение;Сдать в аренду;Центр: Дом печати;92.7;100000
Свободного назначения;Сдать в аренду;Дом Обороны;86.3;80000
Офисное помещение;Сдать в аренду;Центр: Драмтеатр;70.0;75000
Торговое помещение;Сдать в аренду;Центр: Драмтеатр;111.3;150000
Торговое помещение;Сдать в аренду;Южный;44.3;60000
Свободного назначения;Сдать в аренду;Европейский мкр.;43.8;66000
Торговое помещение;Сдать в аренду;микрорайон Войновка;74.0;74000
Офисное помещение;Сдать в аренду;Гилевская Роща;7.2;7200
Офисное помещение;Сдать в аренду;Центр: Драмтеатр;182.5;146000
Свободного назначения;Сдать в аренду;Электрон;95.0;60000
Свободного назначения;Сдать в аренду;Боровский рп.;38.0;41800
Торговое помещение;Сдать в аренду;Ново-Комарово;37.0;59200
Свободного назначения;Сдать в аренду;Центр: Исторический;59.6;100000
Офисное помещение;Сдать в аренду;Центр: Драмтеатр;67.0;84000
Свободного назначения;Сдать в аренду;Тюменская слобода мкр.;76.0;115000
Офисное помещение;Сдать в аренду;Центр: Исторический;26.2;22270
Торговое помещение;Сдать в аренду;Червишевский тракт мкр.;31.8;30000
Свободного назначения;Сдать в аренду;2-й Заречный мкр;85.0;50000
Свободного назначения;Сдать в аренду;Центр: Исторический;32.7;32700
Офисное помещение;Сдать в аренду;Центр: Дом печати;10.6;16000
Торговое помещение;Сдать в аренду;Дом Обороны;34.8;20000
Свободного назначения;Сдать в аренду;Тюменский 3-й мкр.;43.0;50000
Свободного назначения;Сдать в аренду;6-й микрорайон;90.4;70000
Торговое помещение;Сдать в аренду;микрорайон ДОК;38.0;50000
Офисное помещение;Сдать в аренду;Тарманы мкр.;17.2;18700
Офисное помещение;Сдать в аренду;Центр: Исторический;81.1;101375
Торговое помещение;Сдать в аренду;3 мкр;145.8;243000
Свободного назначения;Сдать в аренду;Тюменский 3-й мкр.;44.2;55000
Свободного назначения;Сдать в аренду;Тюменский 3-й мкр.;44.2;58000
Офисное помещение;Сдать в аренду;Центр: Студгородок;14.4;14400
Свободного назначения;Сдать в аренду;Плеханово;118.8;178500
Торговое помещение;Сдать в аренду;Московский тракт мкр.;24.0;25000
Офисное помещение;Сдать в аренду;Центр: Драмтеатр;96.0;140000
Свободного назначения;Сдать в аренду;Центр: Исторический;71.4;70000
Свободного назначения;Сдать в аренду;Лесобаза: Казачьи Луга мкр.;49.5;35000
Торговое помещение;Сдать в аренду;6 мкр;20.0;19000
База/склад/производство;Сдать в аренду;Бабарынка;1009.3;200000
Свободного назначения;Сдать в аренду;3-й Заречный мкр;64.1;65000
Офисное помещение;Сдать в аренду;Центр: Драмтеатр;15.0;17000
Свободного назначения;Сдать в аренду;Дом Обороны;68.9;70000
Свободного назначения;Сдать в аренду;Центр: КПД;31.0;37200
База/склад/производство;Сдать в аренду;Бабарынка;356.1;30000
База/склад/производство;Сдать в аренду;микрорайон Лесобаза;44.0;19360
Офисное помещение;Сдать в аренду;Центр: Исторический;55.0;35000
Свободного назначения;Сдать в аренду;2-й Заречный мкр;117.6;60000
Свободного назначения;Сдать в аренду;Центральный округ;12.0;12000
Свободного назначения;Сдать в аренду;Центральный округ;10.0;12000
Свободного назначения;Сдать в аренду;Тюменский 1-й мкр.;250.0;300000
Свободного назначения;Сдать в аренду;Дом Обороны;180.0;35000
Свободного назначения;Сдать в аренду;Ново-Патрушево мкр.;100.6;55220
Офисное помещение;Сдать в аренду;Центр: Студгородок;30.5;32500
Свободного назначения;Сдать в аренду;Центр: Дом печати;87.4;84778
Свободного назначения;Сдать в аренду;3 мкр;60.0;80000
Свободного назначения;Сдать в аренду;Центр: КПД;47.0;50000
Свободного назначения;Сдать в аренду;Московский п.;20.0;15000
Офисное помещение;Сдать в аренду;Центр: Исторический;37.0;43000
Торговое помещение;Сдать в аренду;Антипино мкр.;90.8;117910
Офисное помещение;Сдать в аренду;Центр: КПД;22.1;24310
Свободного назначения;Сдать в аренду;микрорайон Антипино;38.0;60000
Свободного назначения;Сдать в аренду;Центр: Исторический;59.7;71652
Свободного назначения;Сдать в аренду;Заречный мкр.;21.0;16500
Офисное помещение;Сдать в аренду;Гилевская Роща;15.2;16720
Свободного назначения;Сдать в аренду;2-й Заречный мкр;284.0;227200
Свободного назначения;Сдать в аренду;2 мкр;26.0;33800
Офисное помещение;Сдать в аренду;Центр: Исторический;18.0;18000
Свободного назначения;Сдать в аренду;Югра мкр.;80.0;40000
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;150.0;150000
Свободного назначения;Сдать в аренду;МЖК;10.0;13000
Свободного назначения;Сдать в аренду;Центр: Студгородок;40.0;40000
Офисное помещение;Сдать в аренду;Европейский мкр.;51.6;70000
База/склад/производство;Сдать в аренду;Центр: КПД;2.2;4100
Офисное помещение;Сдать в аренду;Центр: Драмтеатр;303.0;350000
Свободного назначения;Сдать в аренду;МЖК;114.7;75000
Офисное помещение;Сдать в аренду;Южный;544.5;200000
Свободного назначения;Сдать в аренду;Тюменский 2-й мкр.;146.0;150000
Свободного назначения;Сдать в аренду;Центр: Исторический;118.6;95000
Торговое помещение;Сдать в аренду;Ново-Комарово;83.8;83800
Свободного назначения;Сдать в аренду;Тюменский 3-й мкр.;43.0;60000
Свободного назначения;Сдать в аренду;Центр: Исторический;22.0;35000
Офисное помещение;Сдать в аренду;Центр: Исторический;15.3;12750
Свободного назначения;Сдать в аренду;Центр: Студгородок;20.0;20000
Офисное помещение;Сдать в аренду;Центр: Исторический;15.1;12750
Свободного назначения;Сдать в аренду;Заречный мкр.;69.9;66000
Свободного назначения;Сдать в аренду;Европейский мкр.;91.0;145000
Свободного назначения;Сдать в аренду;1 мкр;6.3;5000
Торговое помещение;Сдать в аренду;Плеханово;8.0;45000
Офисное помещение;Сдать в аренду;Плеханово;28.0;45000
База/склад/производство;Сдать в аренду;Центр: Студгородок;63.3;25320
База/склад/производство;Сдать в аренду;Центр: Студгородок;74.6;29840
Торговое помещение;Сдать в аренду;Червишевский тракт мкр.;83.4;108400
Свободного назначения;Сдать в аренду;Дом Обороны;75.2;55000
Свободного назначения;Сдать в аренду;Тюменская слобода мкр.;54.1;80000
Свободного назначения;Сдать в аренду;Тюменская слобода мкр.;54.4;108800
Торговое помещение;Сдать в аренду;Центр: Исторический;33.0;60000
Торговое помещение;Сдать в аренду;Калининский округ;28.7;43000
Торговое помещение;Сдать в аренду;Комарово Парк мкр.;29.8;40000
Офисное помещение;Сдать в аренду;5 мкр;63.8;75000
Торговое помещение;Сдать в аренду;Ново-Патрушево мкр.;63.9;95850
Свободного назначения;Сдать в аренду;1-й Заречный мкр;21.5;30000
Свободного назначения;Сдать в аренду;Московский тракт мкр.;17.3;20000
Офисное помещение;Сдать в аренду;Центр: Дом печати;17.0;30600
Свободного назначения;Сдать в аренду;Дом Обороны;54.0;60000
Свободного назначения;Сдать в аренду;Московский тракт мкр.;112.4;179840
Свободного назначения;Сдать в аренду;3-й Заречный мкр;86.0;130200
Офисное помещение;Сдать в аренду;Центр: КПД;7.0;6825
Торговое помещение;Сдать в аренду;Лесобаза мкр.;37.9;37900
Торговое помещение;Сдать в аренду;Лесобаза мкр.;50.4;50400
Свободного назначения;Сдать в аренду;Ватутина мкр.;9.1;10000
Офисное помещение;Сдать в аренду;Центр: КПД;43.7;57000
Офисное помещение;Сдать в аренду;Центр: Дом печати;61.6;90000
Свободного назначения;Сдать в аренду;Центр: КПД;275.0;233750
Свободного назначения;Сдать в аренду;Центр: Дом печати;30.4;26000
Свободного назначения;Сдать в аренду;Центр: Дом печати;12.1;10000
Свободного назначения;Сдать в аренду;Центр: КПД;196.5;117300
Свободного назначения;Сдать в аренду;Тюменская слобода мкр.;53.0;75000
Свободного назначения;Сдать в аренду;Центр: Дом печати;80.0;120000
Офисное помещение;Сдать в аренду;Княжева мкр.;95.5;100000
Офисное помещение;Сдать в аренду;null;9.4;4700
